item_id,item_name,category_name,unit_price,cost_price,rating_count,avg_overall_rating,std_overall_rating,avg_food_rating,avg_service_rating,avg_ambiance_rating,star_1_count,star_2_count,star_3_count,star_4_count,star_5_count,star_1_pct,star_5_pct,csat_pct,net_satisfaction_score
ITEM-097,Jackfruit Smoky Carnitas Tacos,Vegan & Plant-Based Creations,15.5,5.1,629,3.818759936406995,1.295102627779561,3.7774244833068362,3.7042925278219396,3.8457869634340223,66,40,78,203,242,10.492845786963434,38.47376788553259,70.74721780604133,53.89507154213037
ITEM-057,Roasted Veal Chop Chanterelles,Prime Steaks & Butcher Cuts,49.0,22.0,92,3.7934782608695654,1.3549911274861446,3.6847826086956523,3.7282608695652173,3.75,10,8,11,25,38,10.869565217391305,41.30434782608695,68.47826086956522,48.91304347826087
ITEM-090,Warm Roasted Butternut Squash Bowl,Farm-Fresh Salads & Grain Bowls,14.0,4.5,356,3.7724719101123596,1.3093060464048873,3.6713483146067416,3.6769662921348316,3.803370786516854,37,28,48,109,134,10.393258426966293,37.640449438202246,68.25842696629213,50.0
ITEM-072,Whole Grilled Red Snapper Mojo,Chef Specials & Seafood,42.0,17.5,164,3.768292682926829,1.3772808677454969,3.707317073170732,3.652439024390244,3.7621951219512195,20,12,22,42,68,12.195121951219512,41.46341463414634,67.07317073170732,47.5609756097561
ITEM-118,Dark Chocolate Souffle Grand Marnier,Handcrafted Desserts & Pastries,16.5,4.0,129,3.7674418604651163,1.4225396957717953,3.7286821705426356,3.75968992248062,3.744186046511628,18,10,10,37,54,13.953488372093023,41.86046511627907,70.54263565891473,48.837209302325576
ITEM-011,Spicy Tuna Crispy Rice,Appetizers & Small Plates,18.0,9.8,556,3.7553956834532376,1.3720070213289466,3.7032374100719423,3.712230215827338,3.7482014388489207,72,34,73,156,221,12.949640287769784,39.74820143884892,67.80575539568345,48.74100719424461
ITEM-134,Strawberry Basil Smash Lemonade (Mocktail),Signature Cocktails & Mocktails,8.5,1.7,802,3.754364089775561,1.3429474198164812,3.6870324189526182,3.6246882793017456,3.7693266832917707,93,57,116,224,312,11.596009975062344,38.90274314214464,66.83291770573567,48.12967581047381
ITEM-036,Slow-Braised Wild Boar Pappardelle,Wood-Fired Pizzas & Pastas,26.0,9.5,467,3.753747323340471,1.3140712072540954,3.6873661670235545,3.663811563169165,3.7965738758029977,50,35,69,139,174,10.706638115631693,37.25910064239829,67.02355460385438,48.82226980728051
ITEM-103,Korean Gochujang Crispy Tofu,Vegan & Plant-Based Creations,14.5,4.4,544,3.7536764705882355,1.3698897315914689,3.707720588235294,3.604779411764706,3.7536764705882355,70,33,74,151,216,12.867647058823529,39.705882352941174,67.46323529411765,48.529411764705884
ITEM-125,Black Truffle Infused Manhattan,Signature Cocktails & Mocktails,28.0,4.5,108,3.75,1.3950848297659144,3.6944444444444446,3.712962962962963,3.7962962962962963,15,3,22,22,46,13.88888888888889,42.592592592592595,62.96296296296296,46.2962962962963
ITEM-030,Grilled Halloumi Flatbread,Artisanal Burgers & Handhelds,14.0,5.5,395,3.739240506329114,1.3889902224094244,3.6481012658227847,3.6202531645569622,3.7468354430379747,50,31,52,101,161,12.658227848101266,40.75949367088608,66.32911392405063,45.822784810126585
ITEM-073,Pacific Black Cod Miso Glaze,Chef Specials & Seafood,44.0,18.0,179,3.7374301675977653,1.3711702905188898,3.659217877094972,3.64804469273743,3.776536312849162,24,9,26,51,69,13.40782122905028,38.547486033519554,67.0391061452514,48.60335195530726
ITEM-067,Seafood Paella Valenciana,Chef Specials & Seafood,35.0,16.0,487,3.7371663244353184,1.3474234592184082,3.673511293634497,3.6673511293634498,3.7186858316221767,58,35,69,140,185,11.90965092402464,37.98767967145791,66.73511293634496,47.63860369609856
ITEM-021,California Turkey Avocado Club,Artisanal Burgers & Handhelds,16.0,8.9,681,3.73568281938326,1.3625359722660895,3.6754772393538913,3.668135095447871,3.773861967694567,86,44,97,191,263,12.62848751835536,38.61967694566813,66.66666666666666,47.57709251101321
ITEM-101,Thai Coconut Green Curry Tofu,Vegan & Plant-Based Creations,18.0,5.5,647,3.7326120556414217,1.3346663209489815,3.6646058732612055,3.6228748068006182,3.794435857805255,77,44,91,198,237,11.901081916537867,36.6306027820711,67.23338485316846,48.53168469860896
ITEM-062,Crispy Skin Mediterranean Branzino,Chef Specials & Seafood,38.0,16.0,267,3.730337078651685,1.396268213326085,3.644194756554307,3.651685393258427,3.764044943820225,35,18,41,63,110,13.108614232209737,41.19850187265918,64.7940074906367,44.9438202247191
ITEM-098,Avocado Supergreen Toast Sourdough,Vegan & Plant-Based Creations,13.5,6.8,752,3.7273936170212765,1.350206223578789,3.6382978723404253,3.6449468085106385,3.726063829787234,90,58,101,221,282,11.96808510638298,37.5,66.88829787234043,47.20744680851064
ITEM-116,Key Lime Tart Graham Crust,Handcrafted Desserts & Pastries,9.5,2.7,644,3.718944099378882,1.387642014638282,3.687888198757764,3.6614906832298137,3.760869565217391,89,42,75,193,245,13.819875776397517,38.04347826086957,68.01242236024845,47.670807453416145
ITEM-074,Fried Softshell Crab Basket,Chef Specials & Seafood,26.0,12.0,271,3.715867158671587,1.3376620998589046,3.678966789667897,3.642066420664207,3.7195571955719555,32,19,42,79,99,11.808118081180812,36.53136531365313,65.68265682656826,46.86346863468634
ITEM-130,Classic Moscow Mule Copper Mug,Signature Cocktails & Mocktails,13.5,2.5,956,3.7060669456066946,1.4047059321164042,3.664225941422594,3.6422594142259412,3.756276150627615,138,61,113,276,368,14.435146443514643,38.49372384937239,67.36401673640168,46.54811715481171
ITEM-026,Classic BLT Sourdough,Artisanal Burgers & Handhelds,11.99,4.8,824,3.7014563106796117,1.3779015568601223,3.6480582524271843,3.637135922330097,3.7184466019417477,115,48,107,252,302,13.95631067961165,36.650485436893206,67.23300970873787,47.45145631067961
ITEM-053,Smoked Bone-in Kurobuta Pork Chop,Prime Steaks & Butcher Cuts,34.0,13.8,345,3.701449275362319,1.2965173334054174,3.655072463768116,3.617391304347826,3.7420289855072464,39,20,62,108,116,11.304347826086957,33.6231884057971,64.92753623188405,47.82608695652174
ITEM-047,Dry-Aged Tomahawk Ribeye (36oz),Prime Steaks & Butcher Cuts,125.0,38.0,87,3.7011494252873565,1.5182222049024863,3.7011494252873565,3.6091954022988504,3.7701149425287355,17,2,8,23,37,19.54022988505747,42.5287356321839,68.96551724137932,47.12643678160919
ITEM-066,Seared Diver Scallops Sweet Corn,Chef Specials & Seafood,36.0,16.8,342,3.698830409356725,1.4058732398273275,3.6169590643274856,3.608187134502924,3.7222222222222223,50,21,41,100,130,14.619883040935672,38.01169590643275,67.2514619883041,46.49122807017544
ITEM-113,Vintage Champagne Berry Float,Handcrafted Desserts & Pastries,24.0,5.5,109,3.697247706422018,1.280224135150382,3.596330275229358,3.6788990825688073,3.688073394495413,11,8,20,34,36,10.091743119266056,33.02752293577982,64.22018348623854,46.788990825688074
ITEM-025,Philly Ribeye Cheesesteak,Artisanal Burgers & Handhelds,18.0,9.2,716,3.689944134078212,1.382795181636512,3.6522346368715084,3.594972067039106,3.7374301675977653,99,44,103,204,266,13.8268156424581,37.150837988826815,65.64245810055866,45.67039106145251
ITEM-079,Strawberry Gorgonzola Pecan Salad,Farm-Fresh Salads & Grain Bowls,14.0,5.0,606,3.6881188118811883,1.3679051097083412,3.6204620462046204,3.6204620462046204,3.726072607260726,76,54,72,185,219,12.541254125412541,36.13861386138614,66.66666666666666,45.21452145214521
ITEM-089,Southwest Chipotle Chicken Bowl,Farm-Fresh Salads & Grain Bowls,15.5,5.8,872,3.688073394495413,1.385986931457431,3.625,3.5986238532110093,3.6938073394495414,116,71,106,255,324,13.302752293577983,37.15596330275229,66.39908256880734,44.95412844036697
ITEM-069,Grilled Yellowfin Ahi Tuna Steak,Chef Specials & Seafood,33.0,14.8,349,3.687679083094556,1.3422371744027137,3.5931232091690544,3.5873925501432664,3.7851002865329515,48,18,43,126,114,13.753581661891118,32.664756446991404,68.76790830945558,49.8567335243553
ITEM-034,Prosciutto e Rucola Pizza,Wood-Fired Pizzas & Pastas,21.0,9.8,572,3.6853146853146854,1.3504598965994385,3.6346153846153846,3.5839160839160837,3.699300699300699,72,42,81,176,201,12.587412587412588,35.13986013986014,65.9090909090909,45.97902097902098
ITEM-028,Cubano Roast Pork Sandwich,Artisanal Burgers & Handhelds,15.5,7.2,460,3.6826086956521737,1.4031251064720625,3.6630434782608696,3.582608695652174,3.7630434782608697,70,25,53,145,167,15.217391304347828,36.30434782608696,67.82608695652173,47.17391304347826
ITEM-133,Rare Japanese Whisky Flight (3-pour),Signature Cocktails & Mocktails,55.0,14.0,78,3.6794871794871793,1.4726386755292924,3.6025641025641026,3.5641025641025643,3.782051282051282,14,3,7,24,30,17.94871794871795,38.46153846153847,69.23076923076923,47.43589743589743
