location_id,restaurant_name,restaurant_city,restaurant_state,location_tier,rating_count,avg_overall_rating,avg_food_rating,avg_service_rating,avg_ambiance_rating,star_1_count,star_5_count,csat_pct,satisfaction_rank
LOC-010,DineIQ San Francisco Embarcadero,San Francisco,CA,Flagship,6564,3.6486898232784886,3.5993296770262035,3.5607861060329067,3.6950030469226083,966,2403,65.14320536258379,1
LOC-018,DineIQ Denver LoDo,Denver,CO,Urban Dining,3940,3.6459390862944163,3.5961928934010152,3.5601522842639595,3.701015228426396,560,1408,64.41624365482234,2
LOC-005,DineIQ West Loop Bistro,Chicago,IL,Urban Dining,4569,3.6390895163055372,3.577588093674765,3.5780258262201796,3.6797986430291094,697,1679,64.74064346684176,3
LOC-006,DineIQ Austin Downtown,Austin,TX,Urban Dining,4592,3.6326219512195124,3.581445993031359,3.534843205574913,3.6898954703832754,707,1672,64.65592334494772,4
LOC-004,DineIQ Chicago Magnificent Mile,Chicago,IL,Flagship,6147,3.624532292175045,3.5762160403448835,3.551000488042948,3.689930047177485,957,2183,64.71449487554905,5
LOC-017,DineIQ Orlando Theme Park Outpost,Orlando,FL,Family Destination,6306,3.6232159847764036,3.5666032350142722,3.52965429749445,3.682524579765303,965,2262,63.97082143989851,6
LOC-016,DineIQ Miami South Beach,Miami,FL,Coastal Boardwalk,5938,3.6222633883462447,3.563657797238127,3.5424385314920848,3.6822162344223646,957,2138,64.71876052542945,7
LOC-001,DineIQ Flagship Downtown,New York,NY,Flagship,7201,3.618386335231218,3.5536731009582003,3.5470073600888767,3.6850437439244548,1103,2583,63.963338425218716,8
LOC-013,DineIQ Santa Monica Promenade,Santa Monica,CA,Coastal Boardwalk,5803,3.617094606238153,3.570911597449595,3.527658107875237,3.687058418059624,898,2051,64.72514216784421,9
LOC-002,DineIQ Financial Center,New York,NY,Urban Corporate,5526,3.6163590300398116,3.554650741947159,3.5305826999638072,3.6865725660513933,872,2007,64.02461093014838,10
LOC-008,DineIQ Houston Galleria,Houston,TX,Suburban Mall,4707,3.610792436796261,3.5547057573826217,3.544720628850648,3.67176545570427,730,1672,63.9473125132781,11
LOC-014,DineIQ Seattle Pike Place,Seattle,WA,Urban Dining,4633,3.6086768832290095,3.565508309950356,3.5406863803151305,3.676667386142888,728,1657,63.63047701273473,12
LOC-020,DineIQ Boston Back Bay,Boston,MA,Historic Urban,4196,3.6065300285986654,3.554337464251668,3.5285986653956147,3.665872259294566,639,1467,63.91801715919924,13
LOC-012,DineIQ Los Angeles Beverly,Los Angeles,CA,Flagship,7042,3.603521726782164,3.551831865947174,3.5245668844078386,3.6641579096847487,1115,2481,63.888099971598976,14
LOC-003,DineIQ Brooklyn Heights,Brooklyn,NY,Suburban Upscale,3904,3.6011782786885247,3.545594262295082,3.5197233606557377,3.674436475409836,625,1383,63.70389344262295,15
LOC-009,DineIQ Dallas Arts District,Dallas,TX,Urban Dining,4433,3.601173020527859,3.5472591924204826,3.535980148883375,3.672005413940898,686,1535,63.52357320099256,16
LOC-011,DineIQ Silicon Valley Hub,San Jose,CA,Urban Corporate,4611,3.581218824549989,3.5430492301019303,3.5001084363478636,3.657774886141835,774,1637,63.196703535024945,17
LOC-015,DineIQ Bellevue Tech Plaza,Bellevue,WA,Urban Corporate,4068,3.5648967551622417,3.538102261553589,3.4852507374631267,3.6494591937069814,675,1412,62.61061946902655,18
LOC-007,DineIQ Austin Domain Drive-Thru,Austin,TX,Drive-Thru Express,1979,3.561899949469429,3.5123799898938857,3.5063163213744315,3.6144517433046994,337,667,63.16321374431531,19
LOC-019,DineIQ Atlanta Midtown,Atlanta,GA,Urban Dining,4141,3.551316107220478,3.5056749577396764,3.473557111808742,3.6266602269983097,720,1435,62.207196329389035,20
