order_id,customer_id,location_id,order_date,order_time,order_timestamp,order_type,order_status,payment_method,subtotal_amount,discount_amount,tax_amount,tip_amount,delivery_fee,total_amount,promotion_id,table_number,_quarantine_timestamp,_quarantine_rule_id,_quarantine_rule_name,_quarantine_reason
ORD-000201,CUST-45362,LOC-999,2025-09-03,09:15:28,2025-09-03 09:15:28,TAKEOUT,COMPLETED,MOBILE_PAY,330.16,25.0,25.18,0.0,0.0,330.34,PROMO-011,,2026-09-26T11:22:06.570614,RULE-10,invalid restaurant IDs,Location ID 'LOC-999' does not exist in master restaurants
ORD-000202,CUST-45597,LOC-999,2025-02-11,17:10:01,2025-02-11 17:10:01,DINE_IN,COMPLETED,CREDIT_CARD,245.97,25.0,18.23,39.77,0.0,278.97,PROMO-003,12.0,2026-09-26T11:22:06.570614,RULE-10,invalid restaurant IDs,Location ID 'LOC-999' does not exist in master restaurants
ORD-000203,CUST-48679,LOC-999,2025-03-17,21:33:14,2025-03-17 21:33:14,TAKEOUT,COMPLETED,DEBIT_CARD,150.72,0.0,12.43,0.0,0.0,163.15,,,2026-09-26T11:22:06.570614,RULE-10,invalid restaurant IDs,Location ID 'LOC-999' does not exist in master restaurants
ORD-000204,CUST-22828,LOC-999,2025-12-02,19:20:17,2025-12-02 19:20:17,DELIVERY,COMPLETED,CREDIT_CARD,127.46,15.0,9.28,16.87,4.99,143.6,PROMO-012,,2026-09-26T11:22:06.570614,RULE-10,invalid restaurant IDs,Location ID 'LOC-999' does not exist in master restaurants
ORD-000205,CUST-21178,LOC-999,2025-08-22,09:40:20,2025-08-22 09:40:20,DELIVERY,COMPLETED,MOBILE_PAY,151.44,0.0,12.49,22.72,4.99,191.64,,,2026-09-26T11:22:06.570614,RULE-10,invalid restaurant IDs,Location ID 'LOC-999' does not exist in master restaurants
ORD-000206,CUST-30962,LOC-999,2025-01-05,20:47:07,2025-01-05 20:47:07,DELIVERY,COMPLETED,CREDIT_CARD,129.5,0.0,10.68,12.95,4.99,158.12,,,2026-09-26T11:22:06.570614,RULE-10,invalid restaurant IDs,Location ID 'LOC-999' does not exist in master restaurants
ORD-000207,CUST-10835,LOC-999,2025-02-20,11:41:53,2025-02-20 11:41:53,DELIVERY,COMPLETED,CREDIT_CARD,231.99,0.0,19.14,41.76,4.99,297.88,,,2026-09-26T11:22:06.570614,RULE-10,invalid restaurant IDs,Location ID 'LOC-999' does not exist in master restaurants
ORD-000208,CUST-09875,LOC-999,2025-09-12,09:39:30,2025-09-12 09:39:30,TAKEOUT,REFUNDED,CASH,241.87,0.0,19.95,0.0,0.0,261.82,,,2026-09-26T11:22:06.570614,RULE-10,invalid restaurant IDs,Location ID 'LOC-999' does not exist in master restaurants
ORD-000209,CUST-31612,LOC-999,2025-01-03,11:38:53,2025-01-03 11:38:53,TAKEOUT,COMPLETED,DEBIT_CARD,106.45,0.0,8.78,0.0,0.0,115.23,,,2026-09-26T11:22:06.570614,RULE-10,invalid restaurant IDs,Location ID 'LOC-999' does not exist in master restaurants
ORD-000210,CUST-18364,LOC-999,2025-03-16,13:19:50,2025-03-16 13:19:50,DINE_IN,COMPLETED,DEBIT_CARD,203.46,0.0,16.79,40.69,0.0,260.94,,5.0,2026-09-26T11:22:06.570614,RULE-10,invalid restaurant IDs,Location ID 'LOC-999' does not exist in master restaurants
