order_item_id,order_id,item_id,quantity,unit_price,subtotal,item_discount,item_total,_quarantine_timestamp,_quarantine_rule_id,_quarantine_rule_name,_quarantine_reason
LINE-0000501,ORD-000055,ITEM-134,-1,8.5,8.5,0.0,8.5,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000502,ORD-000056,ITEM-022,-1,17.5,35.0,0.0,35.0,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000503,ORD-000056,ITEM-117,-1,15.0,15.0,0.0,15.0,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000504,ORD-000056,ITEM-066,-1,36.0,36.0,0.0,36.0,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000505,ORD-000056,ITEM-123,-1,15.5,15.5,0.0,15.5,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000506,ORD-000056,ITEM-114,-1,9.0,27.0,0.0,27.0,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000507,ORD-000056,ITEM-053,-1,34.0,34.0,0.0,34.0,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000508,ORD-000056,ITEM-001,-1,8.99,17.98,0.0,17.98,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000509,ORD-000056,ITEM-109,-1,9.5,28.5,0.0,28.5,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000510,ORD-000057,ITEM-144,-1,5.5,5.5,0.0,5.5,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000511,ORD-000057,ITEM-002,-1,14.5,14.5,0.0,14.5,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000512,ORD-000057,ITEM-150,-1,6.25,6.25,0.0,6.25,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000513,ORD-000057,ITEM-123,-1,15.5,31.0,0.0,31.0,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000514,ORD-000057,ITEM-103,-1,14.5,29.0,0.0,29.0,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
LINE-0000515,ORD-000058,ITEM-107,-1,7.5,22.5,0.0,22.5,2026-09-26T11:22:06.690923,RULE-05,negative quantities,Quantity <= 0 detected
