order_id,customer_id,location_id,order_date,order_time,order_timestamp,order_type,order_status,payment_method,subtotal_amount,discount_amount,tax_amount,tip_amount,delivery_fee,total_amount,promotion_id,table_number,_quarantine_timestamp,_quarantine_rule_id,_quarantine_rule_name,_quarantine_reason
ORD-075722,CUST-37825,LOC-017,2025-04-17,13:21:24,2025-04-17 13:21:24,DELIVERY,COMPLETED,CASH,206.0,8.0,16.34,35.64,4.99,254.97,PROMO-005,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-080185,CUST-26819,LOC-002,2025-02-01,09:47:56,2025-02-01 09:47:56,TAKEOUT,COMPLETED,DEBIT_CARD,340.9,25.0,26.06,0.0,0.0,341.96,PROMO-011,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-019865,CUST-48614,LOC-008,2025-10-25,19:30:06,2025-10-25 19:30:06,DINE_IN,REFUNDED,MOBILE_PAY,160.2,40.0,9.92,0.0,0.0,130.12,PROMO-009,16.0,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-076700,CUST-24500,LOC-010,2025-11-06,12:12:54,2025-11-06 12:12:54,DINE_IN,COMPLETED,DEBIT_CARD,122.21,0.0,10.08,12.22,0.0,144.51,,40.0,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-092992,CUST-12388,LOC-006,2025-05-02,10:28:25,2025-05-02 10:28:25,DELIVERY,COMPLETED,CREDIT_CARD,199.45,0.0,16.45,29.92,4.99,250.81,,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-076435,CUST-49021,LOC-019,2025-05-03,19:36:31,2025-05-03 19:36:31,DINE_IN,COMPLETED,CREDIT_CARD,135.48,0.0,11.18,20.32,0.0,166.98,,28.0,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-084005,CUST-21866,LOC-019,2025-09-08,18:27:51,2025-09-08 18:27:51,DELIVERY,COMPLETED,CASH,308.96,25.0,23.43,42.59,4.99,354.97,PROMO-003,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-080918,CUST-37958,LOC-006,2025-10-12,18:18:12,2025-10-12 18:18:12,DINE_IN,COMPLETED,CREDIT_CARD,274.71,0.0,22.66,54.94,0.0,352.31,,12.0,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-060768,,LOC-013,2025-11-07,12:03:07,2025-11-07 12:03:07,TAKEOUT,COMPLETED,MOBILE_PAY,307.96,0.0,25.41,0.0,0.0,333.37,,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-050075,CUST-17799,LOC-015,2025-03-25,13:26:38,2025-03-25 13:26:38,DRIVE_THRU,CANCELLED,DEBIT_CARD,227.99,0.0,18.81,0.0,0.0,246.8,,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-027702,CUST-18120,LOC-004,2025-12-23,08:25:00,2025-12-23 08:25:00,DINE_IN,COMPLETED,DEBIT_CARD,327.44,0.0,27.01,58.94,0.0,413.39,,32.0,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-042142,CUST-42316,LOC-010,2025-06-12,13:23:01,2025-06-12 13:23:01,TAKEOUT,COMPLETED,DEBIT_CARD,130.23,0.0,10.74,0.0,0.0,140.97,,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-045081,CUST-07366,LOC-012,2025-10-17,08:59:31,2025-10-17 08:59:31,TAKEOUT,COMPLETED,MOBILE_PAY,208.0,0.0,17.16,0.0,0.0,225.16,,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-016639,CUST-06056,LOC-003,2025-05-31,18:14:19,2025-05-31 18:14:19,TAKEOUT,COMPLETED,CREDIT_CARD,141.74,15.0,10.46,0.0,0.0,137.2,PROMO-001,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-020425,CUST-02453,LOC-008,2025-12-10,14:13:56,2025-12-10 14:13:56,DINE_IN,COMPLETED,MOBILE_PAY,179.41,15.0,13.56,29.59,0.0,207.56,PROMO-001,38.0,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-088703,CUST-11971,LOC-015,2025-11-24,18:29:13,2025-11-24 18:29:13,DINE_IN,COMPLETED,CASH,157.23,25.0,10.91,19.83,0.0,162.97,PROMO-003,28.0,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-000150,CUST-11145,LOC-001,2025-05-03,17:42:57,2025-05-03 17:42:57,TAKEOUT,COMPLETED,CASH,140.5,0.0,11.59,0.0,0.0,-152.09,,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-001762,CUST-08074,LOC-011,2025-11-16,15:25:41,2025-11-16 15:25:41,TAKEOUT,COMPLETED,DEBIT_CARD,181.72,0.0,14.99,0.0,0.0,196.71,,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-063121,CUST-10569,LOC-017,2025-10-30,10:59:17,2025-10-30 10:59:17,DINE_IN,COMPLETED,MOBILE_PAY,212.48,0.0,17.53,21.25,0.0,251.26,,27.0,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-069162,CUST-06884,LOC-003,2025-07-29,21:27:42,2025-07-29 21:27:42,DRIVE_THRU,COMPLETED,CREDIT_CARD,141.95,20.0,10.06,0.0,0.0,132.01,PROMO-010,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-064884,CUST-13861,LOC-019,2025-03-22,11:38:04,2025-03-22 11:38:04,TAKEOUT,COMPLETED,CREDIT_CARD,413.96,0.0,34.15,0.0,0.0,448.11,,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-002496,CUST-25357,LOC-018,2025-07-16,20:51:20,2025-07-16 20:51:20,DINE_IN,COMPLETED,CREDIT_CARD,290.48,0.0,23.96,52.29,0.0,366.73,,5.0,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-080297,CUST-41754,LOC-003,2025-06-30,12:49:25,2025-06-30 12:49:25,DINE_IN,CANCELLED,CREDIT_CARD,95.22,0.0,7.86,0.0,0.0,103.08,,14.0,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-019448,CUST-09650,LOC-004,2025-07-26,17:15:18,2025-07-26 17:15:18,DINE_IN,REFUNDED,CREDIT_CARD,263.99,25.0,19.72,0.0,0.0,258.71,PROMO-011,12.0,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-041332,CUST-34504,LOC-016,2025-01-24,21:08:17,2025-01-24 21:08:17,DRIVE_THRU,COMPLETED,CREDIT_CARD,669.46,0.0,55.23,0.0,0.0,724.69,,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
ORD-014889,CUST-27563,LOC-013,2025-12-16,19:35:37,2025-12-16 19:35:37,TAKEOUT,COMPLETED,DEBIT_CARD,293.97,0.0,24.25,0.0,0.0,318.22,,,2026-09-26T11:22:05.649409,RULE-02,duplicate orders,Exact duplicate order_id detected
